"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,5,2,5751,3,14046,3,14046,0,0,2,8501,3,14046,1,2750,1,2750,0,0,4,20297,1,500,1,500,0,0,0,0,4,23047
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,5,2,5751,3,14046,3,14046,0,0,2,8501,3,14046,1,2750,1,2750,0,0,4,20297,1,500,1,500,0,0,0,0,4,23047
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",131,36,82158,35,109365,4,18728,31,90637,70,408670,35,109365,63,362047,62,324512,8,37535,67,301931,19,107408,5,3625,4,29864,1,548787,92,702947
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",33,4,7302,14,52324,6,28092,8,24232,13,57190.82,14,52324,13,75396,12,48679,2,26717,15,62376,2,2500,0,0,3,27315,0,0,21,166296.82
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family Financial Planning",18,7,16291,5,15400,1,4682,4,10718,9,64720,5,15400,8,51429,8,48429,1,3000,10,33091,1,1400,0,0,0,0,0,0,12,84520
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",14,3,5714,11,42261,4,18728,7,23533,7,47012.93,11,42261,7,40186,7,40186,0,0,11,52975,3,4000,1,1000,0,0,0,0,13,94273.93
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",82,20,47188,27,94475,5,23410,22,71065,36,188173,29,100230,33,151051,32,139485,3,11566,46,244585,11,93556,5,4500,2,14505,0,0,55,410141
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",Housing,25,9,21308,5,16543,0,0,5,16543,14,86695,5,16543,9,74272,9,64887,2,9385,17,148738,10,110387,1,500,2,11492.82,0,0,23,234502.82
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",21,5,11168,9,26584,1,4682,8,21902,9,87497,9,26584,9,92279,9,76329,3,15950,15,75640,7,37638,2,2000,0,0,0,0,18,167919
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,324,84,191129,106,356952,21,98322,85,258630,158,939958.75,108,362707,142,846660,139,742507,19,104153,181,919336,53,356889,14,11625,11,83176.82,1,548787,234,1860600.57
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Consumer Foods",27,5,12096,11,34980,3,12146,8,22834,12,72096.84,11,34980,11,62236,11,58736,1,3500,15,48976,1,1900,0,0,0,0,1,664262,18,117029.34
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition",Dietetics,49,14,32607,29,108842,12,56184,17,52658,30,169294.02,30,112792,25,145866,25,133916,3,11950,36,156399,7,4200,5,2700,0,0,0,0,41,303536.02
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Intended Dietetics",118,29,70398,76,275323,28,131096,48,144227,62,356731.93,76,277273,55,297820,54,281533,4,16287,92,402683,14,41262,3,1500,0,0,7,3853901,105,739723.93
