"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,8,2,2296,7,31131,5,24475,2,6656,4,21155,7,31131,4,18859,4,18859,0,0,7,33677,0,0,0,0,1,2909,0,0,8,55445
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,8,2,2296,7,31131,5,24475,2,6656,4,21155,7,31131,4,18859,4,18859,0,0,7,33677,0,0,0,0,1,2909,0,0,8,55445
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",130,34,83877,42,141436,4,19580,38,121856,61,354921.9,43,146130,53,299765,51,268489,6,31276,76,332661,17,103348,6,11500,6,38281,0,0,99,672262.9
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",29,3,7594,20,80213,11,53845,9,26368,12,52556,20,80213,13,55962,12,44962,2,11000,22,93032,3,3850,1,500,3,28560,0,0,26,177554
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",11,4,11349,10,38780,4,19580,6,19200,5,20099,10,38780,3,8750,3,8750,0,0,10,59229,5,6350,2,4800,0,0,0,0,10,67979
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",193,52,135485,79,305826.6,23,112585,56,193241.6,98,551254.79,80,310721.6,81,479597,77,407294,9,72303,114,534832.6,25,64703,13,31623,2,12429,4,3160154,141,1059270.39
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Housing Management & Policy",32,9,20508,10,33311,1,4895,9,28416,19,88939,12,41211,15,98387,14,68431,5,29956,22,173411,12,119592,1,500,1,9520,0,0,31,281318
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",25,5,11140,14,52123,5,24475,9,27648,8,56407,14,52123,6,45267,6,45267,0,0,18,102867,4,33454,0,0,0,0,3,2554896,22,167174
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,420,107,269953,175,651689.6,48,234960,127,416729.6,203,1124177.69,179,669178.6,171,987728,163,843193,22,144535,262,1296032.6,66,331297,23,48923,12,88790,7,5715050,329,2425558.29
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Culinary Science & Nutrition",12,2,5196,6,20953,3,10713,3,10240,2,8946,6,20953,1,3750,1,3750,0,0,8,38874,3,12725,0,0,2,7804,0,0,10,50428
