"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,5,1,3047,4,17304,3,14328,1,2976,3,13047,4,17304,3,16000,2,10000,1,6000,5,34330,1,13979,0,0,0,0,0,0,5,50330
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,5,1,3047,4,17304,3,14328,1,2976,3,13047,4,17304,3,16000,2,10000,1,6000,5,34330,1,13979,0,0,0,0,0,0,5,50330
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",128,33,72547,46,153272,4,19104,42,134168,64,326106,47,157922,52,281369,50,251559,6,29810,69,367026,22,133395,6,7500,4,24250,0,0,94,672645
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",37,6,11977,24,99536,13,62088,11,37448,16,93910.4,24,99536,15,88758,14,79915,1,8843,27,125413,8,12150,1,500,2,18574,2,1331893,32,248193.9
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",20,5,11098,12,47192,5,23880,7,23312,7,37664,12,47192,6,37692,5,25566,1,12126,17,75495,9,11705,2,4500,0,0,0,0,17,113187
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",197,55,141784,94,347302,28,131790,66,215512,97,546855.1,95,352078,89,478673,84,398701,8,79972,131,601481,28,85567,13,25748,0,0,3,2294226,150,1107741.6
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",Housing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19748,1,19748,0,0,0,0,0,0,1,19748
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Housing Management & Policy",35,8,21278,13,46182,4,17166,9,29016,17,94942,14,50182,12,89510,12,73164,2,16346,24,197648,13,129188,1,1500,1,9287,0,0,29,296445
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",24,4,10063,13,47992,2,9552,11,38440,9,61923,13,47992,9,51860,9,51860,0,0,14,65555,0,0,0,0,0,0,2,1668617,18,126702
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,442,111,268747,202,741476,56,263580,146,477896,210,1161400.5,205,754902,183,1027862,174,880765,18,147097,283,1452366,81,391753,23,39748,7,52111,7,5294736,341,2584662.5
