"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,6,0,0,4,17448,3,14328,1,3120,2,11208,4,17448,2,11208,2,11208,0,0,4,17448,0,0,0,0,0,0,0,0,4,28656
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,6,0,0,4,17448,3,14328,1,3120,2,11208,4,17448,2,11208,2,11208,0,0,4,17448,0,0,0,0,0,0,0,0,4,28656
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",113,32,73387,38,123024,4,19104,34,103920,53,323926,38,123024,47,304315,45,250039,7,54276,66,334724,20,133813,6,3050,5,28084,2,1334224,87,681053.5
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",39,7,15023,21,74952,7,33432,14,41520,17,116537,21,74952,17,129460,16,100514,2,28946,27,104688,8,8463,2,1000,3,27861,4,2428056,36,285226.5
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",15,4,11665,9,39216,6,28656,3,10560,5,24901,9,39216,4,25656,3,13236,1,12420,13,61581,6,4050,2,2000,0,0,0,0,14,87237
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",125,44,105389,43,153240,12,57312,31,95928,69,392064.17,43,153240,60,328600,58,279733,5,48867,77,371783,28,104904,13,11975,3,17633,1,652175,95,727101.67
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",Housing,2,1,2685,0,0,0,0,0,0,1,2685,0,0,0,0,0,0,0,0,2,12654,1,9969,0,0,0,0,0,0,2,12654
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Housing Management & Policy",24,7,15085,10,31608,3,14328,7,17280,12,49869,10,31608,10,46534,9,34284,2,12250,19,104232,7,54164,1,500,0,0,0,0,23,150766
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",22,6,10714,17,67032,7,33432,10,33600,12,77786,17,67032,9,67072,9,67072,0,0,17,86221,2,1225,0,0,0,0,0,0,20,153293
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,340,101,233948,138,489072,39,186264,99,302808,169,987768.17,138,489072,147,901637,140,744878,17,156759,221,1075883,72,316588,24,18525,11,73578,7,4414455,277,2097331.67
