"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,4,3,7480,3,11016,1,4776,2,6240,4,24804.05,3,11016,3,17135,3,17135,0,0,4,18996,1,500,1,500,0,0,0,0,4,36320.05
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,4,3,7480,3,11016,1,4776,2,6240,4,24804.05,3,11016,3,17135,3,17135,0,0,4,18996,1,500,1,500,0,0,0,0,4,36320.05
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",118,33,76759,45,143136,6,28656,39,114480,57,308270.43,45,143136,51,274880,49,228866,6,46014,71,361383,18,134488,6,7528,5,32595,2,1334224,91,683433.93
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",36,6,14310,22,83784,9,42984,13,40800,15,91169,22,83784,14,85211,13,76359,1,8852,27,111457,7,8863,2,2000,2,18574,3,1919003,33,233816
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",13,2,5920,7,29904,4,19104,3,10800,4,13920,7,29904,4,20420,3,8000,1,12420,10,45024,5,5550,1,3500,0,0,0,0,11,65444
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",142,46,112963,61,217038,16,74478,45,142560,76,417959.81,61,218288,67,342141,65,294525,5,47616,93,440758,30,99707,15,17959,0,0,1,652175,108,795514.31
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",Housing,2,1,2685,0,0,0,0,0,0,1,2685,0,0,0,0,0,0,0,0,2,15012,1,12327,0,0,0,0,0,0,2,15012
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Housing Management & Policy",32,9,19385,11,40008,3,14328,8,25680,18,112571,11,40008,17,97936,16,92686,1,5250,19,117395,6,51105,2,1000,0,0,0,0,26,215331
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",18,5,9450,11,39048,3,14328,8,24720,9,61102,11,39048,7,51152,7,51152,0,0,13,53448,2,950,0,0,1,9287,0,0,15,113887
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,361,102,241472,157,552918,41,193878,116,359040,180,1007677.24,157,554168,160,871740,153,751588,14,120152,235,1144477,69,312990,26,31987,8,60456,6,3905402,286,2122438.24
