"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,2,0,0,2,7012,1,4682,1,2330,1,3250,2,7012,1,3250,1,3250,0,0,2,7012,0,0,0,0,0,0,0,0,2,10262
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,2,0,0,2,7012,1,4682,1,2330,1,3250,2,7012,1,3250,1,3250,0,0,2,7012,0,0,0,0,0,0,0,0,2,10262
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",111,24,54557,27,91279,8,37456,19,53823,46,275284,27,91279,41,259813,38,219727,6,40086,53,296865,16,150029,2,2000,3,12554.68,1,548787,73,578337.68
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",31,5,11415,13,42472,3,14046,10,28426,13,104892.59,14,46422,14,116524,13,91776,3,24748,20,90572,5,35935,0,0,2,18210,2,1096163,26,235612.59
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family Financial Planning",1,1,1454,0,0,0,0,0,0,1,7704,0,0,1,6250,1,6250,0,0,1,1454,0,0,0,0,0,0,0,0,1,7704
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",11,1,2883,8,30633,5,23410,3,7223,4,18837,8,30633,4,15954,4,15954,0,0,8,35346,2,1130,0,0,0,0,1,665204,11,55852.5
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",113,32,77364,42,140916,10,44920,32,95996,58,365736,42,140916,56,333198,53,287372,7,45826,66,306976,14,78821,9,7500,0,0,1,652175,79,644726.5
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",Housing,11,7,17156,1,3029,0,0,1,3029,8,37575,1,3029,5,19919,5,19919,0,0,9,88247,5,66812,1,2500,0,0,0,0,9,108166
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Housing Management & Policy",10,0,0,5,15866,1,4682,4,11184,5,19871,5,15866,6,21871,5,19871,1,2000,6,22083,1,6217,0,0,0,0,0,0,8,43954
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",16,4,8457,6,22771.64,4,16480.64,2,6291,7,29440.67,6,22771.64,6,26641,6,19741,1,6900,12,34303.64,3,2575,1,500,1,9105,2,1354940,15,84949.81
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,304,74,173286,102,346966.64,31,140994.64,71,205972,142,859340.26,103,350916.64,133,800170,125,680610,18,119560,175,875846.64,46,341519,13,12500,6,39869.68,7,4317269,222,1759303.08
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Consumer Foods",22,7,16981,14,55375,7,32774,7,22601,10,46482,14,56375,7,29501,7,29501,0,0,19,76156,2,1800,1,1500,1,1978,1,664262,20,112187.5
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition",Dietetics,53,18,35149,28,90158,10,46820,18,43338,27,157667.5,28,91707,22,131016,22,120373,2,10643,35,154401,5,26494,2,2000,2,18210,1,500241,44,309325
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Intended Dietetics",81,16,30112,62,226516,23,107686,39,118830,47,250768,62,226516,43,231656,42,220156,2,11500,69,274703,9,6775,2,2000,2,13295,2,1109001,77,528759
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Nutrition Science",72,16,35128,46,169853,21,98322,25,71531,34,160061,46,169853,27,126683,27,124433,1,2250,57,221056,9,7575,3,1500,1,695.5,3,1705279,66,366644.5
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Nutritional Sciences",92,16,38755,71,282766,38,177916,33,104850,31,160841.58,71,283835,27,120803,27,119734,1,1069,79,366594,6,35223,0,0,0,0,7,4784166,87,525319.58
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition",,320,73,156125,221,824668,99,463518,122,361150,149,775820.08,221,828286,126,639659,125,614197,6,25462,259,1092910,31,77867,8,7000,6,34178.5,14,8762949,294,1842235.58
