"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,3,1,2887,1,4682,1,4682,0,0,2,11887,1,4682,2,9000,2,9000,0,0,1,8069,1,500,1,500,0,0,0,0,2,17069
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,3,1,2887,1,4682,1,4682,0,0,2,11887,1,4682,2,9000,2,9000,0,0,1,8069,1,500,1,500,0,0,0,0,2,17069
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",133,34,77473,34,107079,6,28092,28,78987,69,386654.22,34,107079,63,364077,59,306366,12,57711,66,310628,17,123576,3,1500,3,22892,1,548787,94,708017.22
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",40,8,15488,13,45756,4,18728,9,27028,16,77428.22,13,45756,15,99097,14,61245,4,37852,18,100373,5,36879,1,1500,4,29010,1,587110,28,233727.72
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family Financial Planning",6,2,5749,2,5825,0,0,2,5825,4,31004,2,5825,4,28755,4,25255,1,3500,3,11574,0,0,0,0,0,0,0,0,5,40329
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",16,4,10223,12,42050,5,23410,7,18640,6,29657,12,42050,4,19434,4,19434,0,0,14,88646,5,35373,1,1500,0,0,0,0,15,108080
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",98,26,57998,39,118356.2,6,28092,33,90264.2,49,291467,41,124210.2,47,272319,44,231469,5,40850,58,280622.2,13,97103,7,5500,2,10489,1,652175,69,567982.7
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",Housing,27,9,21200,6,17708,0,0,6,17708,15,85428,6,17708,9,69846,9,63728,1,6118,19,169820,11,130412,1,500,1,2782,0,0,24,242448
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",13,5,8885,6,21946,2,9364,4,12582,9,94810,6,21946,9,91625,9,85925,1,5700,9,31331,1,500,1,500,0,0,1,509053,13,127508.5
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,333,88,197016,112,358720.2,23,107686,89,251034.2,168,996448.44,114,364574.2,151,945153,143,793422,24,151731,187,992994.2,52,423843,14,11000,10,65173,4,2297125,248,2028093.14
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Consumer Foods",31,9,18948,12,45545,5,23410,7,22135,14,73449.99,12,45545,11,62058,10,53558,1,8500,17,66393,1,1900,0,0,0,0,1,664262,22,133947.49
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition",Dietetics,64,16,39065,34,116298,12,56184,22,60114,37,210129.67,35,122298,33,194733,32,169065,6,25668,46,169813,8,4700,3,1700,0,0,2,512080,57,375150.67
