DEGREE_LEVEL,DEGREE,COLLEGE,DEPARTMENT,MAJOR,ENROLLED_STUDENTS,PELL_COUNT,PELL_AMT,HOPE_ZELL_COUNT,HOPE_ZELL_AMT,ZELL_COUNT,ZELL_AMT,HOPE_COUNT,HOPE_AMT,FED_AID_COUNT,FED_AID_AMT,STATE_AID_COUNT,STATE_AID_AMT,LOAN_ALL_LOANS_COUNT,LOAN_ALL_LOANS_AMT,LOAN_FED_AID_COUNT,LOAN_FED_AID_AMT,LOAN_NON_FED_AID_COUNT,LOAN_NON_FED_AID_AMT,GRANT_SCH_AID_COUNT,GRANT_SCH_AID_AMT,GRANT_SCH_UGA_AID_COUNT,GRANT_SCH_UGA_AID_AMT,GRANT_SCH_UGA_NEED_AID_COUNT,GRANT_SCH_UGA_NEED_AID_AMT,EXEMPTION_NONSCHOL_COUNT,EXEMPTION_NONSCHOL_AMT,EXEMPTION_AS_SCHOL_COUNT,EXEMPTION_AS_SCHOL_AMT,ALL_AID_COUNT,ALL_AID_AMT
Bachelor's,BSFCS,College of Fam and Consumr Sci,"Textiles, Merchand, Interiors",Fashion Merchandising,174,43,96841,116,362814,19,79862,97,282952,85,451244,117,368407,75,384088,73,350569,6,33519,132,492884,16,17500,7,8750,3,22512.5,3,1367417,146,914976
Bachelor's,BSFCS,College of Fam and Consumr Sci,"Textiles, Merchand, Interiors",Furnishings and Interiors,35,7,12173,23,74428,9,36912,14,37516,15,64196,23,74428,12,50793,12,50793,0,0,26,95051,2,2000,1,1500,0,0,1,242332,29,149774
Bachelor's,BSFCS,College of Fam and Consumr Sci,"Textiles, Merchand, Interiors",Intended Furnish and Interiors,9,3,5595,7,23053,1,4295,6,18758,5,17344,7,23053,3,11749,3,11749,0,0,8,45571,1,14423,0,0,0,0,1,606857,9,61872.5
Bachelor's,BSFCS,College of Fam and Consumr Sci,"Textiles, Merchand, Interiors",,218,53,114609,146,460295,29,121069,117,339226,105,532784,147,465888,90,446630,88,413111,6,33519,166,633506,19,33923,8,10250,3,22512.5,5,2216606,184,1126622.5
Bachelor's,BSFCS,College of Fam and Consumr Sci,,Child And Family Development,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,750,1,750,0,0,0,0,1,206101,1,9855
Bachelor's,BSFCS,College of Fam and Consumr Sci,,Family Financial Planning,2,0,0,0,0,0,0,0,0,1,3750,0,0,1,3750,1,3750,0,0,0,0,0,0,0,0,0,0,0,0,1,3750
Bachelor's,BSFCS,College of Fam and Consumr Sci,,,3,0,0,0,0,0,0,0,0,1,3750,0,0,1,3750,1,3750,0,0,1,750,1,750,0,0,0,0,1,206101,2,13605
Bachelor's,BSFCS,College of Fam and Consumr Sci,,,1328,335,746594,774,2620743,239,1019533,535,1601210,670,3370297,779,2639847,576,2840164,564,2582189,45,257975,972,4256718.43,166,735208,48,52544,27,196354,23,10394252,1119,7427092.43
Bachelor's,BSFCS,,,,1328,335,746594,774,2620743,239,1019533,535,1601210,670,3370297,779,2639847,576,2840164,564,2582189,45,257975,972,4256718.43,166,735208,48,52544,27,196354,23,10394252,1119,7427092.43
Bachelor's,,,,,1328,335,746594,774,2620743,239,1019533,535,1601210,670,3370297,779,2639847,576,2840164,564,2582189,45,257975,972,4256718.43,166,735208,48,52544,27,196354,23,10394252,1119,7427092.43
,,,,,1328,335,746594,774,2620743,239,1019533,535,1601210,670,3370297,779,2639847,576,2840164,564,2582189,45,257975,972,4256718.43,166,735208,48,52544,27,196354,23,10394252,1119,7427092.43
